# x_m,y_m,w_tr_right_m,w_tr_left_m
12.9906,7.2801,1.1700,0.2400
12.9210,7.3521,0.2400,0.1800
12.8514,7.4240,0.1300,0.0900
12.7822,7.4964,0.0700,0.1100
12.7131,7.5689,0.0700,0.1100
12.6404,7.6376,0.0600,0.0900
12.5655,7.7041,0.0800,0.1100
12.4875,7.7665,0.0700,0.1200
12.4047,7.8228,0.1100,0.1800
12.3203,7.8763,0.1600,0.2300
12.2289,7.9171,0.2200,0.3200
12.1374,7.9579,0.2800,0.4100
12.0414,7.9858,0.3400,0.5300
11.9450,8.0132,0.4100,0.7100
11.8474,8.0349,0.6700,0.7800
11.7491,8.0543,0.7700,0.8900
11.6505,8.0710,0.9000,1.0600
11.5513,8.0846,1.0400,1.1700
11.4519,8.0952,1.1200,1.2200
11.3517,8.0962,1.2200,1.2200
11.2517,8.0965,1.2300,1.1800
11.1542,8.0739,1.1700,1.1800
11.0566,8.0514,1.1200,1.1600
10.9663,8.0091,1.0800,1.1600
10.8775,7.9629,1.0700,1.1400
10.7937,7.9088,1.0500,1.1400
10.7140,7.8482,1.0300,1.1700
10.6352,7.7865,1.0700,1.1500
10.5618,7.7184,1.0600,1.1500
10.4884,7.6503,1.0800,1.1500
10.4172,7.5799,1.1000,1.1500
10.3473,7.5083,1.0800,1.1700
10.2774,7.4366,1.0900,1.1800
10.2089,7.3635,1.0600,1.1600
10.1405,7.2904,1.0300,1.1500
10.0724,7.2170,1.0300,1.1700
10.0047,7.1432,1.0400,1.1400
9.9371,7.0694,1.0200,1.1500
9.8684,6.9966,1.0500,1.1900
9.7994,6.9240,1.0500,1.1600
9.7298,6.8521,1.0600,1.1600
9.6559,6.7846,1.0600,1.1700
9.5819,6.7170,1.0500,1.1900
9.5054,6.6526,1.0500,1.2000
9.4267,6.5907,1.0300,1.2200
9.3479,6.5289,1.0000,1.2100
9.2678,6.4689,0.9900,1.2400
9.1876,6.4090,1.0000,1.1700
9.1078,6.3485,0.9700,1.1000
9.0285,6.2873,0.9700,1.0300
8.9493,6.2260,0.9400,1.0200
8.8715,6.1630,0.9300,1.0200
8.7939,6.0998,0.9300,1.0100
8.7172,6.0354,0.9000,1.0200
8.6421,5.9692,0.9300,1.0400
8.5669,5.9031,0.9300,1.0500
8.4949,5.8335,0.9400,1.0600
8.4233,5.7635,0.9700,1.0500
8.3537,5.6916,0.9900,1.0600
8.2869,5.6171,1.0100,1.0700
8.2200,5.5426,1.0500,1.1200
8.1581,5.4639,1.0600,1.1700
8.0967,5.3848,1.0800,1.2400
8.0359,5.3053,1.1200,1.3100
7.9763,5.2248,1.1600,1.3100
7.9167,5.1444,1.1700,1.2800
7.8534,5.0668,1.1800,1.3300
7.7891,4.9901,1.1800,1.3000
7.7239,4.9142,1.1800,1.3000
7.6536,4.8428,1.1700,1.3000
7.5834,4.7714,1.1900,1.2800
7.5129,4.7004,1.1600,1.3000
7.4420,4.6296,1.1800,1.2800
7.3712,4.5589,1.2300,1.2700
7.3028,4.4858,1.1800,1.2700
7.2346,4.4125,1.1800,1.2900
7.1667,4.3388,1.1900,1.2800
7.0995,4.2646,1.1900,1.2600
7.0323,4.1904,1.1800,1.3200
6.9681,4.1136,1.2100,1.3200
6.9043,4.0364,1.2100,1.2900
6.8478,3.9544,1.2700,1.3100
6.8005,3.8661,1.3300,1.3200
6.7577,3.7763,1.4400,1.3400
6.7385,3.6780,1.5800,1.3500
6.7194,3.5797,1.7400,1.3700
6.7157,3.4798,1.4800,1.3600
6.7137,3.3797,1.3200,1.3200
6.7126,3.2796,1.2200,1.2200
6.7119,3.1794,1.1200,1.1200
6.7097,3.0794,1.0200,1.0200
6.7055,2.9793,0.9700,0.9300
6.7001,2.8794,0.8600,0.8300
6.6929,2.7795,0.7600,0.7400
6.6846,2.6797,0.6500,0.6400
6.6742,2.5801,0.5400,0.5600
6.6645,2.4805,0.3800,0.4700
6.6567,2.3807,0.3200,0.3700
6.6508,2.2808,0.3100,0.3300
6.6577,2.1810,0.3200,0.2200
6.6646,2.0811,0.3800,0.1700
6.6934,1.9852,0.2600,0.1400
6.7221,1.8893,0.2000,0.1200
6.7678,1.8005,0.1700,0.0700
6.8163,1.7129,0.1500,0.0200
6.8756,1.6327,0.1100,0.0500
6.9399,1.5560,0.1400,0.0600
7.0090,1.4838,0.1600,0.0400
7.0832,1.4166,0.1500,0.0600
7.1619,1.3564,0.1500,0.0700
7.2538,1.3167,0.2100,0.1100
7.3457,1.2769,0.2700,0.1500
7.4404,1.2443,0.3200,0.2300
7.5350,1.2116,0.4000,0.4200
7.6323,1.1886,0.4800,0.5400
7.7304,1.1685,0.6000,0.6000
7.8296,1.1572,0.6400,0.6600
7.9296,1.1537,0.7800,0.7100
8.0291,1.1573,1.0900,0.7600
8.1274,1.1766,1.1800,0.7500
8.2245,1.1992,1.0400,0.7600
8.3137,1.2446,0.9200,0.7500
8.4029,1.2900,0.9000,0.7800
8.4822,1.3509,0.8600,0.7800
8.5604,1.4135,0.8400,0.7800
8.6356,1.4794,0.8200,0.7900
8.7088,1.5478,0.8400,0.7800
8.7819,1.6162,0.8100,0.7900
8.8549,1.6847,0.8400,0.8000
8.9279,1.7532,0.8600,0.7900
9.0016,1.8210,0.9500,0.8100
9.0755,1.8885,1.0400,0.7900
9.1490,1.9565,1.0000,0.8200
9.2218,2.0252,1.0300,0.8100
9.2947,2.0939,1.0100,0.8000
9.3650,2.1652,0.9300,0.8100
9.4350,2.2368,0.8300,0.8300
9.5043,2.3091,0.7900,0.8100
9.5725,2.3824,0.8200,0.8000
9.6407,2.4557,0.8100,0.8200
