# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000000000000000e+00,1.286045800090601077e+01,7.212323500064955262e+00,3.868875109931884104e-01,9.033562027488631907e-01,3.322838429331902876e+00,-8.232810016713256740e-01
9.985075886522197519e-02,1.281873539298385367e+01,7.302375692132542007e+00,4.829801304189729194e-01,1.031435798506859181e+00,3.298006179783855796e+00,-4.201562729165707333e-02
1.997015177304439504e-01,1.276759176234957138e+01,7.388362770714729244e+00,5.916462182601893716e-01,1.104112857650334734e+00,3.296733865108611106e+00,-4.201562729163928894e-02
2.995522765956659117e-01,1.270765181319630699e+01,7.467905208159269392e+00,6.991305020967688577e-01,1.057471213488550887e+00,3.295461059216968636e+00,4.738121832484128992e-01
3.994030354608879008e-01,1.263943076856225112e+01,7.540925946775526967e+00,8.029456949097486529e-01,1.009182853776980915e+00,3.309786187192355289e+00,9.023711484586223186e-01
4.992537943261098898e-01,1.256424743924282872e+01,7.606667923609061965e+00,9.006482739154577644e-01,9.495449196910570322e-01,3.336898184367131481e+00,1.383876629070237119e+00
5.991045531913318234e-01,1.248324427341278664e+01,7.664939146774439216e+00,9.927956441634742113e-01,8.945447765024306941e-01,3.378054433547463820e+00,1.748010356300033763e+00
6.989553120565538125e-01,1.239716812908934074e+01,7.715848959295867893e+00,1.079791137870933060e+00,8.473747532755111500e-01,3.429334057389470392e+00,1.989128029485367710e+00
7.988060709217758015e-01,1.230730792050907141e+01,7.759198821990228367e+00,1.161959908241589456e+00,7.966982091040165637e-01,3.486769846666069039e+00,2.267091452853636557e+00
8.986568297869977906e-01,1.221406977669287208e+01,7.795339263511897876e+00,1.239329995697489029e+00,7.525964267979589062e-01,3.551099205540209969e+00,2.460779755370110955e+00
9.985075886522197797e-01,1.211852035272419315e+01,7.824342002970181120e+00,1.311951135663084411e+00,6.999240797880729170e-01,3.619630784974632309e+00,2.779136685387316064e+00
1.098358347517441658e+00,1.202115560521665394e+01,7.846595494384916769e+00,1.379478243295298778e+00,6.538996048998535482e-01,3.695500620158015170e+00,3.017078411474686472e+00
1.198209106382663647e+00,1.192239425725881219e+01,7.862487039863488292e+00,1.442051067385146990e+00,5.964684064644014683e-01,3.776140883424706995e+00,3.439690018388541493e+00
1.298059865247885636e+00,1.182324312555618917e+01,7.872426485619272718e+00,1.498861177061347139e+00,5.447187501020932521e-01,3.866025257116923797e+00,3.800771828425096643e+00
1.397910624113107625e+00,1.172308677405253441e+01,7.877009453236085257e+00,1.550185799284168553e+00,4.793177143026312592e-01,3.962975042988484908e+00,4.411519674973968463e+00
